mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4810482978820801,0.09384631348632619,0.003304004669189453,0.0002969131394740221,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.7697345625071056,0.8617340340696397,0.7230092933847438,0.7383171127346033,0.812666002947362,0.7810922011286909,0.050660316808194175,3
0.6858657836914063,0.058155185927031915,0.004309177398681641,0.0005726244300156724,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.7495397052644546,0.8587716373337917,0.7304451189817658,0.7466344501427766,0.8289564346704907,0.782869469278656,0.05110246526258628,2
0.7390028953552246,0.05092088818985513,0.0035464286804199217,0.00020152637815852651,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.7572930603194041,0.8640860324722084,0.719764230973769,0.7442072760544647,0.8173178557669931,0.7805336911173679,0.05270053349293643,4
0.8287217617034912,0.0276536074900875,0.004197168350219727,0.000567154060864492,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.7668963550881972,0.8539635134981415,0.7428134342199646,0.7611362801711339,0.8369476178166743,0.7923514401588222,0.04440997240320779,1
