mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.475325345993042,0.09531397450083842,0.003408479690551758,0.00024939857034635084,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.7697345625071056,0.8617340340696397,0.7230092933847438,0.7383171127346033,0.812666002947362,0.7810922011286909,0.050660316808194175,3
0.6984229564666748,0.08834426310586903,0.0035407543182373047,0.00037889706826752797,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.7495397052644546,0.8587716373337917,0.7304451189817658,0.7466344501427766,0.8289564346704907,0.782869469278656,0.05110246526258628,2
0.8025776386260987,0.058146529281585466,0.003419637680053711,0.00016971136210592303,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.7572930603194041,0.8640860324722084,0.719764230973769,0.7442072760544647,0.8173178557669931,0.7805336911173679,0.05270053349293643,4
0.8461467742919921,0.020208350982795036,0.003780698776245117,0.0002529825648130264,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.7668963550881972,0.8539635134981415,0.7428134342199646,0.7611362801711339,0.8369476178166743,0.7923514401588222,0.04440997240320779,1
